"datasetIdentifierCode","title","MD_DataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion"
"f273941e-9c3b-43bc-b886-2d50d0bf9348","Habitatrichtlijn verspreidingsgebied van soorten","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/f273941e-9c3b-43bc-b886-2d50d0bf9348","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, , , ]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"9dd9bf30-36e6-45ae-b368-bdef2720bdde","Bodemkundig boormonsterprofiel onder INSPIRE","https://nationaalgeoregister.nl/geonetwork/srv/resourcese26eb6c9-c441-43e8-8db6-aabbf11578fd","TNO Geologische Dienst Nederland","[info@dinoloket.nl, geodesk.cgi@wur.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"6050578f-0010-4bfa-b013-c8617b80ba62","Grondwatersamenstellinggegevens KRW meetronde 2012 onder INSPIRE","https://nationaalgeoregister.nl/geonetwork/srv/resources7d716522-fa1a-43b4-99c0-3a3480f9e218","TNO Geologische Dienst Nederland","[info@dinoloket.nl, info@dinoloket.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"cf69ec50-9849-4afd-853c-ee56211d336d","Waterstanden en afvoeren actueel - Rijkswaterstaat","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/cf69ec50-9849-4afd-853c-ee56211d336d","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"9b583730-e750-485a-9c0c-39bf9be72cf8","Geluidbelasting rijkswegen in Nederland 2016 (24-uurs gemiddelde)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9b583730-e750-485a-9c0c-39bf9be72cf8","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"25294679-adb9-4c39-a93b-6954ff9414ac","Waterstanden en afvoeren verwacht - Rijkswaterstaat","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/25294679-adb9-4c39-a93b-6954ff9414ac","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"f99e915a-75e5-4c36-97f2-61eff692d85b","Grondwateronderzoek onder INSPIRE","https://nationaalgeoregister.nl/geonetwork/srv/resources7e290e63-f991-4cc3-beff-1ff08ce2be77","TNO Geologische Dienst Nederland","[info@dinoloket.nl, info@dinoloket.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"eu-f297898-2640-44c2-bbe9-c0480da83794","Hydrografie - Netwerk (INSPIRE geharmoniseerd) - WT","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/eu-f297898-2640-44c2-bbe9-c0480da83794","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, info@wetransform.to]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"50eef6be-619d-4e16-9b92-48971109b636","Geluidbelasting rijkswegen in Nederland 2011 (nacht gemiddelde)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/50eef6be-619d-4e16-9b92-48971109b636","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"f8d840bc-18df-4449-b797-b9adcb81d3ec","Emissies naar lucht en water in 2015 vanuit de industrie","https://data.rivm.nl/inspire/id#c6d62f69-7be0-4c19-a4af-d146c6a3c166","no organisationName found in dataset record","[emissieregistratie@rivm.nl, , emissieregistratie@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"adn73c4a-ef03-4785-b7f6-942e86b385f7","Bathymetrie Nederland - binnenwateren","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/adn73c4a-ef03-4785-b7f6-942e86b385f7","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"50a2c5e6-c8e7-425d-854e-26f578196bc9","Afgevoerde hoeveelheid afval in 2011 vanuit de industrie","https://data.rivm.nl/inspire/id#90bab79d-5f92-4aaa-8edc-99195438ef65","no organisationName found in dataset record","[emissieregistratie@rivm.nl, , emissieregistratie@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"b3f66964-a8c1-456f-9799-9cafca2cb7b1","Monitoring stations (Nitraatrichtlijn) ondiepe filters","https://data.rivm.nl/inspire/id#7247293d-2113-44d8-b335-8167b2ec4d1b","no organisationName found in dataset record","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"8de2f5eb-b09f-4f6d-8397-8878a1b86238","Geluidbelasting rijkswegen in Nederland 2011 (24-uurs gemiddelde)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/8de2f5eb-b09f-4f6d-8397-8878a1b86238","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"844404a2-9cd0-452e-b29a-74588777485a","Geluidkaart hoofdspoornet 2011 (Lden)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records844404a2-9cd0-452e-b29a-74588777485a","Ministerie van IenW","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"9b583730-e750-485a-9c0c-39bf9be72cf9","Geluidbelasting rijkswegen in Nederland 2006 (24-uurs gemiddelde)","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9b583730-e750-485a-9c0c-39bf9be72cf9","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"380aa01e-dce7-11e3-9f07-901b0e19e163","Netwerk van KNMI waarneemstations","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records6c6be9c5-b09b-4dcf-a5fd-f149cbaca6fb","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","[datacentrum@knmi.nl, datacentrum@knmi.nl, datacentrum@knmi.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"8a4f5c3b-aced-48fd-afb5-f1f1d0ef21d6","Omgevingsdosisequivalenttempo Nationaal Meetnet Radioactiviteit 2011","https://data.rivm.nl/inspire/id#722e3937-3e53-4048-97ef-1ced2c77f7dd","no organisationName found in dataset record","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"3a72b9a4-cda9-11ea-87d0-0242ac130003","Grondwater Monitoring Net","https://nationaalgeoregister.nl/geonetwork/srv/resourcesff07bd5a-d6eb-11ea-87d0-0242ac130003","TNO Geologische Dienst Nederland","[info@bro.nl, Info@bro.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0"
"32a21114-8694-40ce-ab76-9dcd885c7861","Kwaliteit van drinkwater in Nederland (2012)","https://data.rivm.nl/inspire/id#a98a6cdb-61cd-4107-b775-2334e6772ed5","RIVM","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"e1e99000-ec47-4e9f-84a5-adad24fef0dc","Natuurlijke alfa activiteitsconcentratie in lucht Nationaal Meetnet Radioactiviteit 2011","https://data.rivm.nl/inspire/id#10fcd5a9-3804-48e3-bcbd-d816594dbb6f","no organisationName found in dataset record","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"e3b0da1e-0664-4025-b3f5-a54d74a26450","Zoutvelden en zoutproductieputten onder INSPIRE","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/xml.metadata.get?uuid=e3b0da1e-0664-4025-b3f5-a54d74a26450","TNO Geologische Dienst Nederland","[info@dinoloket.nl, info@dinoloket.nl, info@dinoloket.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"3e57ce43-7707-43ed-a4b9-72b3a6d812f8","Geluidkaart hoofdspoornet 2011 (Lnight)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records3e57ce43-7707-43ed-a4b9-72b3a6d812f8","Ministerie van IenW","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
"tbjk534p-wubf-crbp-cj25-d4161160gfim","Kaderrichtlijn Mariene Strategie - Bevroren monitoringsdata","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/tbjk534p-wubf-crbp-cj25-d4161160gfim","Rijkswaterstaat","[servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl, , servicedesk-data@rijkswaterstaat.nl, servicedesk-data@rijkswaterstaat.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0"
"fe45c540-e37d-11e4-b571-0800200c9a66","Zwemwaterlocaties en zwemwaterkwaliteit - monsterpunten","no MD_DataIdentificationCitationAnchor","Interprovinciaal Overleg","[inspire@gbo-provincies.nl, inspire@gbo-provincies.nl, inspire@gbo-provincies.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3"
"588a4cb1-b442-4ac1-87e4-40401e353166","Jaarcijfers Landelijk Meetnet Luchtkwaliteit 2012","https://data.rivm.nl/inspire/id#b5ccab29-e2cc-4178-9f81-40c50e909754","no organisationName found in dataset record","[geodata@rivm.nl, , geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0"
