"serviceIdentifierCode","title","url","servicetype","conformanceHref","conformanceTitles","conformancePass"
"d4f4ebb4-dea0-4f32-b2c4-f1f733091b75","Vogelrichtlijn verspreiding van soorten OGC API Features","https://api.pdok.nl/rvo/vogelrichtlijn-verspreidingsgebied-soorten/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features"",""Conform verordening";"De service voldoet aan de requirements van de invocable conformance class";"is conform OGC API features specificatie"",""true";"true";"true""
"983c059f-2cd2-4808-b11c-abf446eac658","Vogelrichtlijn verspreidingsgebied van soorten OGC API Features","https://api.pdok.nl/rvo/vogelrichtlijn-verspreidingsgebied-soorten/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features"",""Conform verordening";"De service voldoet aan de requirements van de invocable conformance class";"is conform OGC API features specificatie"",""true";"true";"true""
"ab9f8fd0-8465-4071-bbe4-5446736afcf7","Population Distribution (INSPIRE geharmoniseerd) OGC API Features","https://api.pdok.nl/cbs/population-distribution/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening";"De service voldoet aan de requirements van de interoperable conformance class";"is conform OGC API features specificatie";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"66bee60e-c5e4-48bf-8da5-edcccadcb310","Statistical Units Vector (INSPIRE geharmoniseerd) OGC API Features","https://api.pdok.nl/cbs/statistical-units-vector/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening";"De service voldoet aan de requirements van de interoperable conformance class";"is conform OGC API features specificatie";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"2742bbc5-d526-47f0-9dcb-078cf8d4882c","Schelpdierpercelen WMS","https://service.pdok.nl/rvo/schelpdierpercelen/wms/v3_0?request=getcapabilities&service=WMS","view",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2009\/976";"https:\/\/inspire.ec.europa.eu\/documents\/technical-guidance-implementation-inspire-view-services"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"Conform technische specificatie; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1"",""true";"true""
"1b07ba6f-3877-4a13-82db-17a601300d8a","Schelpdierpercelen WFS","https://service.pdok.nl/rvo/schelpdierpercelen/wfs/v3_0?request=getcapabilities&service=WFS","other",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/serviceType\/ogc\/wfs"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"De service voldoet aan de requirements van de invocable conformance class";"De service voldoet aan de requirements van de WFS 2.0 conformance class"",""true";"true";"true""
"f27c4326-14c9-45ee-a6cc-decee877c966","Hydrografie: Netwerk (INSPIRE geharmoniseerd) OGC API Features","https://api.pdok.nl/rws/hydrografie-netwerk/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening";"De service voldoet aan de requirements van de interoperable conformance class";"is conform OGC API features specificatie";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"51fea735-04b2-46db-a05f-17985ba30555","Mossel- en oesterhabitats OGC API Features","https://api.pdok.nl/rvo/mossel-en-oesterhabitats/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features"",""Conform verordening";"De service voldoet aan de requirements van de invocable conformance class";"is conform OGC API features specificatie"",""true";"true";"true""
"887c892f-9ef5-4869-b424-3215cb2b5697","Kaderrichtlijn Mariene Strategie WFS","https://service.pdok.nl/rws/kaderrichtlijn-mariene-strategie/wfs/v1_0?request=GetCapabilities&service=WFS","other",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/serviceType\/ogc\/wfs"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"De service voldoet aan de requirements van de invocable conformance class";"De service voldoet aan de requirements van de WFS 2.0 conformance class"",""true";"true";"true""
"f5fd4f4f-56a0-42f4-a0e4-5127016e7932","CBS Vierkantstatistieken 500m 2001 WMS","https://service.pdok.nl/cbs/vierkantstatistieken500m/2001/wms/v1_0?request=GetCapabilities&service=WMS","view",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2009\/976";"https:\/\/inspire.ec.europa.eu\/documents\/technical-guidance-implementation-inspire-view-services"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"Conform technische specificatie; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1"",""true";"true""
