"DATASETIDENTIFIERCODE","DETAILS","DOWNLOAD LINK","DOWNLOAD SERVICE","ELECTRONICMAILADDRESS","ERRORMESSAGE","MD_DATAIDENTIFICATIONCITATIONANCHOR","METADATASTANDARDVERSION","ORGANISATION","PROTOCOLGROUP","PROTOCOLGROUPTEXT","RESOURCE FILEID","RESOURCE TITLE","RESPONSIBLE ORGANIZATION","SERVICEORGANISATION","TITLE","VIEW SERVICE"
"a7fb2234-f7b4-4a03-b282-f10947f42fb1","View the details�","Not available","Not available","[""support@geologischedienst.nl,geodesk.cgi@wur.nl,support@geologischedienst.nl""]","a7fb2234-f7b4-4a03-b282-f10947f42fb1 found","https://ngr.acceptatie.nationaalgeoregister.nl/geonetwork/srv/resourcesbbe3c19d-12b0-4912-a6f4-46eb189e85ac","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","TNO Geologische Dienst Nederland","20000000","OtherProtocol OtherProtocol","a7fb2234-f7b4-4a03-b282-f10947f42fb1","","Alterra, Wageningen UR","TNO Geologische Dienst Nederland","Kaart van de bodemopbouw in Nederland 1:50.000 onder INSPIRE","Not available"
"a322184d-6285-4856-bb78-f450b30ffc0e","View the details� ","Not available","Not available","[""hydrologistiek@mindef.nl,hydrologistiek@mindef.nl,data@hydro.nl,"",""]","a322184d-6285-4856-bb78-f450b30ffc0e found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/a322184d-6285-4856-bb78-f450b30ffc0e","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","10000","WCS","a322184d-6285-4856-bb78-f450b30ffc0e","","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Bathymetrie Nederlands deel van de Noordzee dieper dan 10 m LAT","Not available"
"3e57ce43-7707-43ed-a4b9-72b3a6d812f8","View the details� ","Not available","Not available","[""sylvia.koolmees@minienw.nl,sylvia.koolmees@minienw.nl""]","3e57ce43-7707-43ed-a4b9-72b3a6d812f8 found","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records3e57ce43-7707-43ed-a4b9-72b3a6d812f8","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van IenW","0","","3e57ce43-7707-43ed-a4b9-72b3a6d812f8","","Ministerie van IenW","service organisation not found","Geluidkaart hoofdspoornet 2011 (Lnight)","Not available"
"844404a2-9cd0-452e-b29a-74588777485a","View the details� ","Not available","Not available","[""sylvia.koolmees@minienw.nl,sylvia.koolmees@minienw.nl""]","844404a2-9cd0-452e-b29a-74588777485a found","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records844404a2-9cd0-452e-b29a-74588777485a","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van IenW","0","","844404a2-9cd0-452e-b29a-74588777485a","","Ministerie van IenW","service organisation not found","Geluidkaart hoofdspoornet 2011 (Lden)","Not available"
"6050578f-0010-4bfa-b013-c8617b80ba62","View the details� ","Not available","Not available","[""support@geologischedienst.nl,support@geologischedienst.nl,support@geologischedienst.nl""]","6050578f-0010-4bfa-b013-c8617b80ba62 found","https://nationaalgeoregister.nl/geonetwork/srv/resources7d716522-fa1a-43b4-99c0-3a3480f9e218","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","TNO Geologische Dienst Nederland","0","","6050578f-0010-4bfa-b013-c8617b80ba62","","TNO Geologische Dienst Nederland","service organisation not found","Grondwatersamenstellinggegevens KRW meetronde 2012 onder INSPIRE","Not available"
"4617f0e0-6af4-4ac0-9044-31df9d03071c","View the details� ","Not available","Not available","[""hydrologistiek@mindef.nl,hydrologistiek@mindef.nl,data@hydro.nl,"",""]","4617f0e0-6af4-4ac0-9044-31df9d03071c found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/4617f0e0-6af4-4ac0-9044-31df9d03071c","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","310","WFS WFS WFS WMS","4617f0e0-6af4-4ac0-9044-31df9d03071c","","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Zones volgens EU Gemeenschappelijk Visserijbeleid tot 3M en 6M","Not available"
"c2225e5d-b46f-4e38-8445-ab10fd40c0dc","View the details� ","Not available","Not available","[""hydrologistiek@mindef.nl,hydrologistiek@mindef.nl,data@hydro.nl""]","c2225e5d-b46f-4e38-8445-ab10fd40c0dc found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/c2225e5d-b46f-4e38-8445-ab10fd40c0dc","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","110","WMS WFS","c2225e5d-b46f-4e38-8445-ab10fd40c0dc","","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Blokindeling van het Nederlands Continentaal Plat volgens de Mijnbouwwet en Grensgebied volgens de Aanvullende Overeenkomst bij het Eems-Dollardverdrag","Not available"
"11a292bd-9022-4a9f-b1bf-02f5c89ad74a","View the details� ","Not available","Not available","[""support@geologischedienst.nl,support@geologischedienst.nl,support@geologischedienst.nl""]","11a292bd-9022-4a9f-b1bf-02f5c89ad74a found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/xml.metadata.get?uuid=11a292bd-9022-4a9f-b1bf-02f5c89ad74a","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","TNO Geologische Dienst Nederland","10000002","ATOM ATOM OtherProtocol","11a292bd-9022-4a9f-b1bf-02f5c89ad74a","","TNO Geologische Dienst Nederland","TNO Geologische Dienst Nederland","Totale potentie aardwarmte uit aquifers onder INSPIRE","Not available"
"d3c9efd6-fca7-49d6-92bb-5f507abece90","View the details� ","Not available","Not available","[""geodata@rivm.nl,geodata@rivm.nl""]","d3c9efd6-fca7-49d6-92bb-5f507abece90 found","no MD_DataIdentificationCitationAnchor","Nederlands metadata profiel op ISO 19115 voor geografie 1.3.1","RIVM","11000000","OtherProtocol SOS","d3c9efd6-fca7-49d6-92bb-5f507abece90","","RIVM","Rijksinstituut voor Volksgezondheid en Milieu","Gemeten Ammoniak concentraties in buitenlucht.","Not available"
"1249746f-c2a6-4639-98f2-251676b3528e","View the details� ","Not available","Not available","[""hydrologistiek@mindef.nl,hydrologistiek@mindef.nl,data@hydro.nl""]","1249746f-c2a6-4639-98f2-251676b3528e found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/1249746f-c2a6-4639-98f2-251676b3528e","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","10000110","OtherProtocol WFS WMS","1249746f-c2a6-4639-98f2-251676b3528e","","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","Maritieme grenzen - basislijn Noordzee","Not available"
"58e7dc38-a498-4852-b4ef-908f5baa9056","View the details� ","Not available","Not available","[""inspire@gbo-provincies.nl,inspire@gbo-provincies.nl,inspire@gbo-provincies.nl""]","58e7dc38-a498-4852-b4ef-908f5baa9056 found","http://nationaalgeoregister.nl/geonetwork/srv/dut/csw?SERVICE=CSW&version=2.0.2&REQUEST=GetRecordById&elementSetName=full&OutputSchema=http://www.isotc211.org/2005/gmd&ID=016cf591-57b0-472d-8306-021caf92b880","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","Interprovinciaal Overleg","11","ATOM WMS","58e7dc38-a498-4852-b4ef-908f5baa9056","","Interprovinciaal Overleg","Beheer PDOK","Begrenzingen van vergunde ontgrondingsgebieden voor zand- en grindwinning","Not available"
"562127a6-0381-46b3-9ed7-10e61ec5ecb5","View the details� ","Not available","Not available","[""support@broservicedesk.nl,support@broservicedesk.nl""]","562127a6-0381-46b3-9ed7-10e61ec5ecb5 found","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/xml.metadata.get?uuid=562127a6-0381-46b3-9ed7-10e61ec5ecb5","Nederlands metadata profiel op ISO 19115 voor geografie 2.1.0","TNO Geologische Dienst Nederland","0","","562127a6-0381-46b3-9ed7-10e61ec5ecb5","","TNO Geologische Dienst Nederland","service organisation not found","BRO - Bodemkundig booronderzoek (BHR-P), as is","Not available"
