"DATASETIDENTIFIERCODE","ELECTRONICMAILADDRESS","FEATURE","METADATASTANDARDVERSION","OPERATESON","ORGANISATION","PROTOCOL","RESULTMESSAGE","SERVICEIDENTIFIERCODE","SERVICEPROTOCOL","SERVICETYPE","SORTEDREFS","TITLE","URL"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.794fa9da-8bf0-4053-83d8-1174f2317dcb/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: 2c2cc118-dee5-448f-9658-e2649bcb7d7f INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean temperature in (0.1 degrees Celsius)","2c2cc118-dee5-448f-9658-e2649bcb7d7f","unknown","download","","INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean temperature in (0.1 degrees Celsius)","https://haleconnect.com/ows/services/org.874.cb9ca55e-f4e7-4bd8-a02e-75d528e22118_wfs/org.874.794fa9da-8bf0-4053-83d8-1174f2317dcb?SERVICE=WFS&Request=GetCapabilities"
"f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3","beheerpdok@kadaster.nl,beheerpdok@kadaster.nl","Operates on has matching Inspire dataset","Nederlands metadata profiel op ISO 19119 voor services 2.1.0","https://nationaalgeoregister.nl/geonetwork/srv/dut/csw?service=CSW&request=GetRecordById&version=2.0.2&outputSchema=http://www.isotc211.org/2005/gmd&elementSetName=full&id=f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3#MD_DataIdentification","Beheer PDOK","OGC:WFS","Operates on:f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3 not found in Inspire CSW endpoint in service: caeb52a3-cbaa-4e9b-a23e-d4dc0335b506 CBS Wijken en Buurten 2020 versie 3 WFS","caeb52a3-cbaa-4e9b-a23e-d4dc0335b506","wfs","download","","CBS Wijken en Buurten 2020 versie 3 WFS","https://service.pdok.nl/cbs/wijkenbuurten/2020/wfs/v2_0?request=getcapabilities&service=wfs"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.1d098355-23c3-4bd3-adf6-192549933ec3/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: 62b01550-9007-4634-b008-bd6071b34b2c INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values","62b01550-9007-4634-b008-bd6071b34b2c","unknown","view","","INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values","https://haleconnect.com/ows/services/org.874.cb9ca55e-f4e7-4bd8-a02e-75d528e22118_wms/org.874.1d098355-23c3-4bd3-adf6-192549933ec3?SERVICE=WMS&Request=GetCapabilities"
"5c37d29a-006d-4136-8989-adfc35a1d4a7","beheerpdok@kadaster.nl,beheerpdok@kadaster.nl","Operates on has matching Inspire dataset","Nederlands metadata profiel op ISO 19119 voor services 2.1.0","https://nationaalgeoregister.nl/geonetwork/srv/dut/csw?service=CSW&request=GetRecordById&version=2.0.2&outputSchema=http://www.isotc211.org/2005/gmd&elementSetName=full&id=5c37d29a-006d-4136-8989-adfc35a1d4a7#MD_DataIdentification","Beheer PDOK","OGC:WFS","Operates on:5c37d29a-006d-4136-8989-adfc35a1d4a7 not found in Inspire CSW endpoint in service: 027e3f15-3b58-4570-97bb-779ce3ca947e CBS Wijken en Buurten 2019 versie 3 WFS","027e3f15-3b58-4570-97bb-779ce3ca947e","wfs","download","","CBS Wijken en Buurten 2019 versie 3 WFS","https://service.pdok.nl/cbs/wijkenbuurten/2019/wfs/v1_0?request=getcapabilities&service=wfs"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.7e01e60c-8887-425c-af9b-e2cf6af9181b/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: ce0a3f8e-6713-455f-805e-a067162c287d Aardbevingen Nederland (KNMI)","ce0a3f8e-6713-455f-805e-a067162c287d","unknown","view","","Aardbevingen Nederland (KNMI)","https://haleconnect.com/ows/services/org.874.7e01e60c-8887-425c-af9b-e2cf6af9181b_wms?SERVICE=WMS&Request=GetCapabilities"
"f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3","beheerpdok@kadaster.nl,beheerpdok@kadaster.nl","Operates on has matching Inspire dataset","Nederlands metadata profiel op ISO 19119 voor services 2.1.0","https://nationaalgeoregister.nl/geonetwork/srv/dut/csw?service=CSW&request=GetRecordById&version=2.0.2&outputSchema=http://www.isotc211.org/2005/gmd&elementSetName=full&id=f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3#MD_DataIdentification","Beheer PDOK","OGC:WMS","Operates on:f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3 not found in Inspire CSW endpoint in service: 3c47e1a8-a6a2-45e4-bfec-0f334c9fbc9d CBS Wijken en Buurten 2020 versie 3 WMS","3c47e1a8-a6a2-45e4-bfec-0f334c9fbc9d","wms","view","","CBS Wijken en Buurten 2020 versie 3 WMS","https://service.pdok.nl/cbs/wijkenbuurten/2020/wms/v2_0?request=getcapabilities&service=wms"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.cb9ca55e-f4e7-4bd8-a02e-75d528e22118/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: 1009c2a4-4dba-49a5-b643-914ba8b80b52 INSPIRE Gecontroleerde klimatologische daggegevens","1009c2a4-4dba-49a5-b643-914ba8b80b52","unknown","download","","INSPIRE Gecontroleerde klimatologische daggegevens","https://haleconnect.com/ows/services/org.874.cb9ca55e-f4e7-4bd8-a02e-75d528e22118_wfs?SERVICE=WFS&Request=GetCapabilities"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.28716afd-1e98-4623-9239-8abbd9249408/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: 8a772a52-d659-47b3-a131-82398fb78664 Overzicht van Nederlandse seismologische meetstations","8a772a52-d659-47b3-a131-82398fb78664","unknown","download","","Overzicht van Nederlandse seismologische meetstations","https://haleconnect.com/services/bsp/org.874.28716afd-1e98-4623-9239-8abbd9249408/service/atom/id_predefined_dataset"
"f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3","beheerpdok@kadaster.nl,beheerpdok@kadaster.nl","Operates on has matching Inspire dataset","Nederlands metadata profiel op ISO 19119 voor services 2.1.0","https://nationaalgeoregister.nl/geonetwork/srv/dut/csw?service=CSW&request=GetRecordById&version=2.0.2&outputSchema=http://www.isotc211.org/2005/gmd&elementSetName=full&id=f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3#MD_DataIdentification","Beheer PDOK","INSPIRE Atom","Operates on:f1859b4d-93be-4fc8-9e91-0ecc2fa0f3b3 not found in Inspire CSW endpoint in service: 88a337a9-bed3-4d79-80fa-ff4b45990d7d CBS Wijken en Buurten 2020 versie 3 ATOM","88a337a9-bed3-4d79-80fa-ff4b45990d7d","atom","download","","CBS Wijken en Buurten 2020 versie 3 ATOM","https://service.pdok.nl/cbs/wijkenbuurten/2020/atom/index.xml"
"","opendata@knmi.nl,opendata@knmi.nl","Operates on has matching Inspire dataset","2005","https://haleconnect.com/services/bsp/org.874.794fa9da-8bf0-4053-83d8-1174f2317dcb/md/dataset/dataset1#xpointer%28%2F%2Fgmd%3AidentificationInfo%5B1%5D%2Fgmd%3AMD_DataIdentification%29","Koninklijk Nederlands Meteorologisch Instituut (KNMI)","#notpresent","Operates on: not found in Inspire CSW endpoint in service: ff2a91df-931c-46fe-8f07-a1ec64e1335e INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean temperature in (0.1 degrees Celsius)","ff2a91df-931c-46fe-8f07-a1ec64e1335e","unknown","view","","INSPIRE Gecontroleerde klimatologische daggegevens, Daily mean temperature in (0.1 degrees Celsius)","https://haleconnect.com/ows/services/org.874.cb9ca55e-f4e7-4bd8-a02e-75d528e22118_wms/org.874.794fa9da-8bf0-4053-83d8-1174f2317dcb?SERVICE=WMS&Request=GetCapabilities"
