"datasetIdentifierCode","title","dataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion",
"380aa01e-dce7-11e3-9f07-901b0e19e163","Netwerk van KNMI waarneemstations","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records6c6be9c5-b09b-4dcf-a5fd-f149cbaca6fb","[Koninklijk Nederlands Meteorologisch Instituut (KNMI), Koninklijk Nederlands Meteorologisch Instituut (KNMI), Koninklijk Nederlands Meteorologisch Instituut (KNMI)]","[datacentrum@knmi.nl, datacentrum@knmi.nl, datacentrum@knmi.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"af0c582f-9e6b-46e6-865a-fc3a2d5289b9","Bodemgebruik","http://kadaster/06b6c650-cdb1-11dd-ad8b-0800200c9a78","[Kadaster, Kadaster, Kadaster]","[PPB-GVA@kadaster.nl, kcc@kadaster.nl, kcc@kadaster.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"83dab947-387b-49df-8ad2-32bb10d46d38","Geluidkaart Schiphol 2016 (Lden)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records83dab947-387b-49df-8ad2-32bb10d46d38","[Ministerie van IenW, Ministerie van IenW]","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"f1d27179-36eb-4376-8048-f51d2eb23a09","Nederlands deel PSSA Waddenzee","https://www.nationaalgeoregister.nl/geonetwork/srv/api/recordsf1d27179-36eb-4376-8048-f51d2eb23a09","[Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie, Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie, Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie]","[data@hydro.nl, data@hydro.nl, data@hydro.nl, , ]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"b59f06c0-dce5-11e3-9c10-901b0e19e163","Aardbevingen Nederland (KNMI)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records49807edc-0007-41aa-8809-d381f6713de4","[Koninklijk Nederlands Meteorologisch Instituut (KNMI), Koninklijk Nederlands Meteorologisch Instituut (KNMI), Koninklijk Nederlands Meteorologisch Instituut (KNMI)]","[datacentrum@knmi.nl, datacentrum@knmi.nl, datacentrum@knmi.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"3703b249-a0eb-484e-ba7a-10e31a55bcec","Invasieve Exoten (INSPIRE Geharmoniseerd)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records3703b249-a0eb-484e-ba7a-10e31a55bcec","Ministerie van Landbouw, Natuur en Voedselkwaliteit","[geodatabeheer.giscc@rvo.nl, Geodatabeheer.GISCC@rvo.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0",
"cbeaebc3-815a-48af-a978-0e16892865fc","Vogelrichtlijn verspreidingsgebied van soorten","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/cbeaebc3-815a-48af-a978-0e16892865fc","[Ministerie van Economische Zaken - GIS Competence Center, Wageningen Environmental Research (Alterra), PDOK, Sovon Vogelonderzoek Nederland]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3",
"247a1d15-0a67-40ce-85be-1403c08f15a8","Nationale Parken (INSPIRE Geharmoniseerd)","http://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/247a1d15-0a67-40ce-85be-1403c08f15a8","no organisationName found in dataset record","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, info@minlnv.nl, , , ]","Nederlandse metadata profiel op ISO 19115 voor geografie 1.3",
"f91c6ad6-62a5-46d0-8a5b-8a62e7a4b833","Gemeten Stikstofmonoxide concentraties in buitenlucht.","https://data.rivm.nl/inspire/id#b867ba72-5a7c-41fe-b997-394b56dfbd25","no organisationName found in dataset record","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"58d39928-f502-48c9-a8c1-03244dc181bf","Geluidkaart Schiphol 2016 (Lnight)","https://www.nationaalgeoregister.nl/geonetwork/srv/api/records58d39928-f502-48c9-a8c1-03244dc181bf","[Ministerie van IenW, Ministerie van IenW]","[sylvia.koolmees@minienw.nl, sylvia.koolmees@minienw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"edf79e6a-d73d-4def-8d22-0f495cc76a73","Bronbestanden waterkwaliteit","no MD_DataIdentificationCitationAnchor","[Informatiehuis Water, Informatiehuis Water]","[servicedesk@ihw.nl, servicedesk@ihw.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 1.3",
"d6b85d84-cdb9-4a6e-b799-cf8826e22a94","Ligging industrie en CO2 emissies","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/d6b85d84-cdb9-4a6e-b799-cf8826e22a94","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"0d6ccccc-7cfb-4eaa-8dc5-8b433d19b121","Landbouwbedrijven","https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/0d6ccccc-7cfb-4eaa-8dc5-8b433d19b121","no organisationName found in dataset record","[geodatabeheer.giscc@rvo.nl, gegevensvragenASB@rvo.nl, gegevensvragenASB@rvo.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0",
"3a72b9a4-cda9-11ea-87d0-0242ac130003","Grondwater Monitoring Net","https://nationaalgeoregister.nl/geonetwork/srv/resourcesff07bd5a-d6eb-11ea-87d0-0242ac130003","[TNO Geologische Dienst Nederland, TNO Geologische Dienst Nederland, TNO Geologische Dienst Nederland]","[info@bro.nl, Info@bro.nl, info@dinoloket.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0",
"b4ae622c-6201-49d8-bd2e-f7fce9206a1e","Gebouwen (INSPIRE geharmoniseerd)","http://kadaster/80b2d12c-32be-54fg-b6d3—34f4ffc06cf3","[Kadaster, Kadaster]","[PPB-GVA@kadaster.nl, kcc@kadaster.nl]","Nederlandse metadata profiel op ISO 19115 voor geografie 2.0",
"d8f370e8-123c-4ab3-9410-04f728327ac6","Gemeten Ozon concentraties in buitenlucht.","https://data.rivm.nl/inspire/id#fd9c4f87-026e-4681-8d94-9702f3c83078","no organisationName found in dataset record","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"733559a5-201d-40e5-ad43-d1c7bae84d9f","Gemeten Stikstofdioxide concentraties in buitenlucht.","https://data.rivm.nl/inspire?id#505e9f1e-84bc-4856-9771-4295db998bb6","RIVM","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
"af135cd8-d429-4fc7-b9e3-09e15217520d","Gemeten fijnere fractie van Fijn stof concentraties in buitenlucht.","https://data.rivm.nl/inspire/id#df9bc66f-941b-4c38-a104-1b8d940a53db","no organisationName found in dataset record","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19115 voor geografie 2.0",
