fe0e1e5f-512f-4bb1-bbf8-4028d3dfa24f","Schelpdierpercelen","[Ministerie van Economische Zaken - GIS Competence Center, PDOK]","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, BeheerPDOK@kadaster.nl]",
f273941e-9c3b-43bc-b886-2d50d0bf9348","Habitatrichtlijn verspreidingsgebied van soorten","[Ministerie van Economische Zaken - GIS Competence Center, Wageningen Environmental Research (Alterra), PDOK, CBS, Natuurloket, pgo's]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, , , ]",
cbeaebc3-815a-48af-a978-0e16892865fc","Vogelrichtlijn verspreidingsgebied van soorten","[Ministerie van Economische Zaken - GIS Competence Center, Wageningen Environmental Research (Alterra), PDOK, Sovon Vogelonderzoek Nederland]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]",
fcefa13c-44e2-4953-b6d6-1ddceebc57fc","Vogelrichtlijn verspreiding van soorten","[Ministerie van Economische Zaken - GIS Competence Center, Wageningen Environmental Research (Alterra), PDOK, Sovon Vogelonderzoek Nederland]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]",
12bb57cd-73e0-41ba-a1e9-6d986b9109d3","Human Health NL NUTS2","[Statistics Netherlands, Statistics Netherlands, Statistics Netherlandds, Statistics Netherlands]","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]",
d845cef6-0e23-4212-a951-b69763e39ef0","Windsnelheden op 100m hoogte (m/s)","no organisationName found in dataset record","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, ]",
d6b85d84-cdb9-4a6e-b799-cf8826e22a94","Ligging industrie en CO2 emissies","Ministerie van Economische Zaken - GIS Competence Center","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl]",
10d1153e-778f-4995-9b6c-7c69b196cccb","Statistical Units Vector","[Statistics Netherlands, Statistics Netherlands, Statistics Netherlandds, Statistics Netherlands]","[infoservice@cbs.nl, infoservice@cbs.nl, infoservice@cbs.nl, , ]",
dc5b522e-3e14-4738-9e8e-2401e1b19ef2","Potentieel koude en warmte uit open en gesloten WKO systemen (GJ/ha.jaar)","[Ministerie van Economische Zaken - GIS Competence Center, Ministerie van Economische Zaken - GIS Competence Center]","[geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl, geodatabeheer.giscc@rvo.nl]",
977e0e94-7aa9-4784-b2da-eaec44adb61b","Habitatrichtlijn verspreiding van habitattypen","[Ministerie van Economische Zaken - GIS Competence Center, Wageningen Environmental Research (Alterra), PDOK, Alterra]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, ]",
6318009c-7b11-4ab9-9929-735584dfb692","Land Use 2015","[Statistics Netherlands, Statistics Netherlands, PDOK]","[infoservice@cbs.nl, infoservice@cbs.nl, , , ]",
28c4780a-1a44-4376-b283-14a50a481729","Habitatrichtlijn verspreiding van soorten","[Wageningen Environmental Research (Alterra), PDOK, CBS, Natuurloket, PGO's]","[geodatabeheer.giscc@rvo.nl, GeoDesk.CGI@wur.nl, geodatabeheer.giscc@rvo.nl, beheerPDOK@kadaster.nl, , , ]",
2d3dd6d2-2d2b-4b5f-9e30-86e19ed77a56","Bestand Bodemgebruik 2015","[Centraal Bureau voor de Statistiek, Centraal Bureau voor de Statistiek, PDOK]","[infoservice@cbs.nl, infoservice@cbs.nl, , , ]",
