"serviceIdentifierCode","title","dataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion",
"0bc2bcb8-558b-446b-b4e2-381b13d483a8","Mossel- en oesterhabitats WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d4dded2c-65ec-4e13-897e-03278d53a958","Olie- en gasvelden onder INSPIRE, viewservice","no MD_DataIdentificationCitationAnchor","no organisationName found in dataset record","[, info@dinoloket.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"cea38797-ea4b-4969-b979-8d25eb543a6c","Statistics Netherlands Land Use 2015 WMS (BBG 2015 INSPIRE geharmoniseerd)","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7b8f44b5-6eae-4113-a835-84b8678c3dd5","Beschermde Gebieden - Cultuurhistorie (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"081bcfff-5f66-467c-95d0-d88dcf9aa4cf","Monitoring stations (Nitraatrichtlijn) ondiepe filters (WMS)","no MD_DataIdentificationCitationAnchor","no organisationName found in dataset record","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"00e8746f-5031-413e-8343-9203c8ea82ee","INSPIRE Download service voor Gebieden met natuurrisico's","no MD_DataIdentificationCitationAnchor","Interprovinciaal Overleg","[inspire@gbo-provincies.nl, inspire@gbo-provincies.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"95e2c712-1b91-4f24-9453-c56b95227717","Emissies naar het riool in 2015 vanuit de industrie (WMS)","no MD_DataIdentificationCitationAnchor","no organisationName found in dataset record","[emissieregistratie@rivm.nl, emissieregistratie@rivm.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ec73f245-66ce-4144-ac27-5966c80a4b3a","Vervoersnetwerken - Waterwegen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"f2d2cd9d-7410-485a-95e0-c1b885243eaf","EEZ volgens UNCLOS - Noordzee - Viewservice","no MD_DataIdentificationCitationAnchor","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","[data@hydro.nl, hydro.servicedesk@mindef.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ceda1b88-32ac-40b2-a841-71eb041c9427","Potentiekaart reststromen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"86cb5bcc-a199-43e2-9e03-2d0fe8bdfa3f","Vervoersnetwerken - spoorwegen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"af4841b5-ce83-4edb-af41-429a21140316","Habitatrichtlijn verspreiding van typen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7681eb19-a914-4dc7-9208-c2a131dca06d","Kaderrichtlijn Water EU2015 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"62c0d0a5-5826-406d-a625-d84bc5fec800","Noordzee Vaarwegmarkeringen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ca71572f-a498-4ca6-aa60-d4c4c4d59e2e","Geografische Namen (Nat) - Nederland - Viewservice","no MD_DataIdentificationCitationAnchor","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","[data@hydro.nl, hydro.servicedesk@mindef.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
