"serviceIdentifierCode","title","dataIdentificationCitationAnchor","organisation","electronicMailAddress","metadataStandardVersion",
"180b6682-5d6f-429d-abb7-32f7d6253787","Windsnelheden 100m hoogte WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"86cb5bcc-a199-43e2-9e03-2d0fe8bdfa3f","Vervoersnetwerken - spoorwegen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7681eb19-a914-4dc7-9208-c2a131dca06d","Kaderrichtlijn Water EU2015 WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"2b9da196-422e-4b0e-a5ba-ba41ade308e9","Habitatrichtlijn verspreiding van habitattypen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerpdok@kadaster.nl, beheerpdok@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"af4841b5-ce83-4edb-af41-429a21140316","Habitatrichtlijn verspreiding van typen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7b8f44b5-6eae-4113-a835-84b8678c3dd5","Beschermde Gebieden - Cultuurhistorie (INSPIRE geharmoniseerd) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"62c0d0a5-5826-406d-a625-d84bc5fec800","Noordzee Vaarwegmarkeringen WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ceda1b88-32ac-40b2-a841-71eb041c9427","Potentiekaart reststromen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"cea38797-ea4b-4969-b979-8d25eb543a6c","Statistics Netherlands Land Use 2015 WMS (BBG 2015 INSPIRE geharmoniseerd)","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"b0119753-5625-4500-9df3-13823ff9868f","Habitatrichtlijn verspreiding van typen WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c3ee15e4-38bf-4d54-9c0b-cfe0e609d448","Actueel Hoogtebestand Nederland 1 (AHN1) WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"0bc2bcb8-558b-446b-b4e2-381b13d483a8","Mossel- en oesterhabitats WMS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"3ebe56dc-5f09-4fb3-b224-55c2db4ca2fd","RD info WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ec73f245-66ce-4144-ac27-5966c80a4b3a","Vervoersnetwerken - Waterwegen (INSPIRE geharmoniseerd) WFS","no MD_DataIdentificationCitationAnchor","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
