"serviceIdentifierCode","title","url","protocol", ""organisation","electronicMailAddress","metadataStandardVersion",
"c3ee15e4-38bf-4d54-9c0b-cfe0e609d448","Actueel Hoogtebestand Nederland 1 (AHN1) WMS","[https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ahn1/wms?request=GetCapabilities]","[OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"62c0d0a5-5826-406d-a625-d84bc5fec800","Noordzee Vaarwegmarkeringen WFS","[https://geodata.nationaalgeoregister.nl/noordzeevaarwegmarkeringenrd/wfs?request=GetCapabilities&service=WFS, https://geodata.nationaalgeoregister.nl/noordzeevaarwegmarkeringenrd/wfs?request=getCapabilities&service=WFS]","[OGC:WFS, OGC:WFS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"95e2c712-1b91-4f24-9453-c56b95227717","Emissies naar het riool in 2015 vanuit de industrie (WMS)","https://inspire.rivm.nl/geoserver/wms?request=GetCapabilities","null","no organisationName found in dataset record","[emissieregistratie@rivm.nl, emissieregistratie@rivm.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c99b1291-c51f-49c8-902d-5bd4148cbbde","INSPIRE View service Habitats en biotopen","[http://services.inspire-provincies.nl/HabitatsAndBiotopes/services/view_HB?request=GetCapabilities, http://services.inspire-provincies.nl/HabitatsAndBiotopes/services/wms_HB_NL?request=GetCapabilities]","null","Interprovinciaal Overleg","[inspire@gbo-provincies.nl, inspire@gbo-provincies.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d4dded2c-65ec-4e13-897e-03278d53a958","Olie- en gasvelden onder INSPIRE, viewservice","https://www.broinspireservices.nl/wms/oserhca-a-v1.0?request=GetCapabilities","OGC:WMS","no organisationName found in dataset record","[, info@dinoloket.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"bc0b75c6-3eef-49de-aca2-8483024903c1","Beschermde Gebieden Wetlands (INSPIRE geharmoniseerd) WFS","https://geodata.nationaalgeoregister.nl/inspire/ps-rvo-wl/wfs?request=GetCapabilities","OGC:WFS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c7dad4b9-42a8-452f-a33b-d4938ed22142","Gebieden in de Eemsmonding en de Dollard Downloadservice","https://inspire.caris.nl/server/services/ows/download/feature/edv-gebieden_IDS?&request=getcapabilities&service=WFS","null","Ministerie van Defensie, Koninklijke Marine, Dienst der Hydrografie","[data@hydro.nl, hydro.servicedesk@mindef.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ce963e61-779f-470f-a99d-48d9796e5ba3","Geografische Namen (INSPIRE geharmoniseerd) WMS","https://geodata.nationaalgeoregister.nl/inspire/gn/wms?request=GetCapabilities","OGC:WMS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"315a465b-e95d-46ea-9d97-8bbee81844cc","Vervoersnetwerken - Gemeenschappelijke elementen (INSPIRE geharmoniseerd) WMS","https://geodata.nationaalgeoregister.nl/inspire/tn/wms?request=GetCapabilities","OGC:WMS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"b0119753-5625-4500-9df3-13823ff9868f","Habitatrichtlijn verspreiding van typen WMS","[https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/habitatrichtlijnverspreidingtypen/wms?request=GetCapabilities]","[OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"5bb85b77-fffd-449b-bd61-f076fe07cc4b","Vervoersnetwerken - Kabelbanen (INSPIRE geharmoniseerd) WFS","https://geodata.nationaalgeoregister.nl/inspire/tn-c/wfs?request=GetCapabilities","OGC:WFS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c78a99eb-9ba3-4307-a21b-2a64ad5da039","Mosselzaadinvanginstallaties WMS","https://geodata.nationaalgeoregister.nl/mosselzaadinvanginstallaties/wms?request=GetCapabilities","OGC:WMS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"4b6752ae-65d6-44b5-98ef-1fc30f4fd92d","Geluidskaarten Rijkswegen WMS","[https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?&request=GetCapabilities&service=WMS, https://geodata.nationaalgeoregister.nl/rwsgeluidskaarten/wms?&request=GetCapabilities&service=WMS]","[OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"7e87a655-c4eb-404d-9d0a-efa2dccef7cc","Geografische Namen (INSPIRE geharmoniseerd) WFS","https://geodata.nationaalgeoregister.nl/inspire/gn/wfs?&request=GetCapabilities&service=WFS","OGC:WFS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"ff8f6da2-949e-4838-90f6-fd895a4a240f","LCP emissies (Richtlijn Industriële emissies) 2016 (WFS)","[https://inspire.rivm.nl/geoserver/wfs?request=GetCapabilities, https://inspire.rivm.nl/atom/lcp_2016.xml]","INSPIRE Atom","no organisationName found in dataset record","[geodata@rivm.nl, geodata@rivm.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"88a93a3b-d522-4c5d-9b0f-c6c39a118442","CBS Gebiedsindelingen (INSPIRE geharmoniseerd) WMS","https://geodata.nationaalgeoregister.nl/inspire/su-vector/wms?&request=GetCapabilities&service=WMS","OGC:WMS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"40f04047-3b61-40eb-b026-c1a0caa71881","Potentiekaart reststromen WFS","[https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/reststromen/wfs?request=GetCapabilities]","[OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d415c10a-8dbf-4c01-8061-4689e5db38ac","Ecotopen WMS","[https://geodata.nationaalgeoregister.nl/ecotopen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ecotopen/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/ecotopen/wms?request=GetCapabilities]","[OGC:WMS, OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"d796fd8d-b1e0-465c-a55b-1e9fe885fc3d","Grondwateronderzoek onder INSPIRE, viewservice","https://www.broinspireservices.nl/wms/osgegmw-a-v1.0?request=GetCapabilities","OGC:WMS","TNO Geologische Dienst Nederland","[info@dinoloket.nl, info@dinoloket.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"8abcd2d1-3beb-43e5-a572-2b2da05a0a98","Nationaal Hydrologisch Instrumentarium (NHI) netwerkschematisaties WMS","[https://geodata.nationaalgeoregister.nl/nhi/wms?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/nhi/wms?request=GetCapabilities]","[OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"598c4109-21d2-4a6c-b083-9975a6736849","NWB - Vaarwegen (Nationaal Wegen Bestand) WMS","[https://geodata.nationaalgeoregister.nl/nwbvaarwegen/wms?request=getCapabilities&service=WMS, https://geodata.nationaalgeoregister.nl/nwbvaarwegen/wms?request=GetCapabilities&service=WMS]","[OGC:WMS, OGC:WMS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"6a129fd1-0988-4b8a-975a-6ff134b6754a","Geluidblootstelling van het hoofdspoorwegennet Lnight WMS","https://geodata.nationaalgeoregister.nl/ienw/geluidskaartspoorwegennacht/v1/wms?request=GetCapabilities&service=wms","null","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"58353cdf-b3a1-454e-9284-932a7e815e57","Hydrografie - Physical Waters (INSPIRE geharmoniseerd) WFS","[https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities, https://geodata.nationaalgeoregister.nl/inspire/hy-p/wfs?request=GetCapabilities]","[OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS, OGC:WFS]","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
"c226f573-4b39-4cbd-b84b-01f308e70972","CBS Provincies WFS","https://geodata.nationaalgeoregister.nl/cbsprovincies/wfs?request=GetCapabilities","OGC:WFS","Beheer PDOK","[beheerPDOK@kadaster.nl, beheerPDOK@kadaster.nl]","Nederlands metadata profiel op ISO 19119 voor services 2.0",
